,han_text
12,  티켓 이벤트  좋아하는 가수를 코로나 사태가 시작했을 때 입 멍해서 멜뮤 유튜브로만 봤었는데 이번에 위드 코로나 시행하고 멜뮤 대면으로 한다고 한 기사 떴을 때 너무 기뻤어요 ㅠㅠ 어떤 시상식들 보다 무대 퀄리티가 제일 좋은 걸로 유명하니 이번 멜뮤도 너무 기대가 돼요 멜뮤
13,ㅅㅂ 호선는 왜 이렇게 이 시간에도 사람이 많아서 열차가 꽉 차 위드 코로나 한다고 다들 아주 신났나 보네
14,위드 코로나 이후로 차 끊길 때까지 술 처음 마셔봐요
15,확진자가 명을 넘었다 위드 코로나에 방심 말고 조심하시길
16,백신 중증화율 감소에 효과 지난주 위중증 환자와는 대 이상으로 집계됐다 사망자도 고령층을 중심으로 발생했다 대 이상 그렇게 백신 많이 맞았는데 왜 그래 위중증 고령층이 추가접종 대상자에 방역 패스 검토 안 해 종합
17,위드 코로나 되면 코로나 맥주 사서 인증숏 찍는 상상 
18,제기  뮤지컬 아카데미 리딩 공연 사전예약 오픈 지금 바로  홈페이지를 통해 예매하세요 백신 패스 객석 운영 백 신 접종 완료 차 접종 후 일 경과 관객에 한하여 관람 가능 미취학아동 입장불가 최종 성과 발표회 리딩 공연 일시 년 월 일금 장소 꿈꾸는 시어터
19,위드 코로나라고 제일 먼저 회식부터 하려 드는 회사 인간들  너무 구려
20,자치행정 신문 금천구 위드 코로나 대비 년 예산안 억 원 편성 
21,단계적 일상 회복이 맞냐 
22,위드 코로나
23,단계적 일상 회복을 택한 이상 더욱 개인보호에 힘써야 하는 것
24,월 위드 코로나 시행으로 제주도 항공권 요금이 인상되었네요 제주항공권 제주여행 위드 코로나 출처  제주도 박   블로그 
25,치엔캉마 건강큐알코드는 백신 패스가 아니다 건강하다는 증명서이다 녹색이어야 대중교통 상점 등에 출입할 수 있다 황금방패 표시가 추가되면 백신 접종 완료 자임을 증명하는 백신 패스가 된다 접종 완료 증명서를 번역해서 관리 병원에 가야 받는다 그나마 공증은 안 해도 되니 다행이다 
26, 예에ㅔㅔ에 위드 코로나
27, 이것이 위드 코로나
28,  우왘 그러게요 두 개 같이 장바구니 넣고 주문하면 된다네요 감사해요 위드 코로나로 어른들 스트레스 푸는 피해를 애들이 고스란히 보고 있는 거 같아서 안쓰럽고 그 르네요
29,위드 코로나 잡아라 백화점 겨울 정기 세일 돌입
30,월요 일데 이때 확진자 다녀감 겨울 콤보로 정신없는 와중에 검사 나간 입원 대기 환자가 양성일지도 모른다 위드 코로나 파워
31,위드 코로나가 코로나랑 같이 가서 터지겠단 뜻이었나
32,일 하나도 안 하고 깍두기처럼 유사 학생회의 일원으로서 친구들 잔뜩 만들고 선배들이랑 친해져서 일하시는거예요헐ㅋㅋ힘들겟당열심히하세요 하고 난 놀고 싶다 진짜 강의만 위드 코로나 하지 말자 대면하면 교수님 목소리가 배속인데 그걸 어떻게 듣는데 
33,워크숍 운영만 해봤지 내가 참여하는 건 정말 오랜만이었다 심지어 나를 안다는 사람도 있었는데 누구신지 기억이 가물가물해서 너무도 당황했다 아무튼 이제 위드 코로나와 함께 슬슬 이런 사회적 연결이 다시 시작되려는 것 같다
34, 내년 여름에는 진짜 위드 코로나 하지 않을까요 근데 또 마스크 쓰니까 겨울엔 얼굴 보온도 되고 가끔 익명성도 보장돼서 좋은 면도 있더라고요 ㅎㅎㅎ 이제 마스크 벗고 제 눈코입 들고 못 다니겠어요 하하하
35,  백신 패스 관 찬스 써야 할 두
36,신세계 센텀시티 측 골드문트 단계적 일상 회복 오디오 추천 안전한 방 집에서 오디오로 힐링을 네임 뮤조로 듣는 코로나 블루 해소 블루투스 스트리밍 플랫폼에까지 연결 가능 집에서 매장에서 여행지까지 다목적 사용 가능 부산 울산 창원 포항 오디오 추천
37, 단계적 일상 회복에 따른 회사의 관행들이 하나둘 저도 목요일 지부 회식 잡힌
38,아니ㅜ영화볼려고햤는게 백신 패스 관하라 못 봄
39, 위드 코로나의 폐해 아니 묘
40, 맞아요 차라리 그게 더 좋아 ㅠㅠ위드 코로나라 무인 가능하지 않나 싶은데 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
41, 위드 코로나 좋네요   아직 안 자요
42, 무슨 일이야 위드 코로나 하고 나니 난리 난 설 대 입구역
43,네덜란드 거센 정치적 반발에 미접종 대상 백신 패스 계획 철회  이번 조치는 사회적 분열을 초래할 수 있다는 우려의 목소리가 나왔다 기독교 민주당의 조바 판 덴 베르크 의원은 양극화는 우리를 이 위기에서 벗어나게 하지 못할 것이라고 말했다  
44,월 위드 코로나 시행으로 제주도 항공권 요금이 인상되었네요 제주항공권 제주여행 위드 코로나  네이버 카페 
45,위드 코로나의 개념은 다 아실 것입니다 코로나를 중대한 질병으로 취급하지 않고 독감과 같은 일상적인 질병으로 여기겠다는 것입니다 모든 감염자를 관리하지 않고 위중증 환자만 관리해서 일상으로 돌아가는 정책입니다 즉 단계적 일상 회복입니다
46,확산을 키우는 위드 코로나 절반까지 번져야 중단할래 수습도 못할 저지레만 싸질러 놓으면서 정작 사과는 없고 피해자들 대하는 건 너그들도 다를 거 없다 이거야 무책임한
47, 나는 케이팝 한 정 위드 코로나 그런 거 안 했으면 좋겠어 시샘하고 질투하고 어쩌고
48,김 총리 방역상황 급속히 악화 내일 단계적 일상 회복 방향 결정 
49, ㅠㅠ제발 월까지만이라도 버텨주길 지금이 노인층 백신 맞은 지 개월 지나는 시점이라 백신 효과가 떨어지기 시작하기도 했고 사람들이 위드 코로나라고 엄청 돌아다녀서 확진자도 위중 증상 자도 많대요
50,사실상 위드 코로나 끝난 유럽 각국 봉쇄 조치 돌입 
51,좋은 말로 할 때 위드 코로나 폐지하고 다시 사회적 거리두기 및 비대면으로 전환해라 
52,김해시 도시개발공사 단계적 일상 회복에 따른 수영 강습 프로그램 재개 김해시 도시개발공사는 지난 연월일 코로나로 인한 강습 프로그램 중단 이후 년 개월의 공백을 깨고 장유 동부 스포츠센터는 월 일 해동이 스포츠센터는 오는 월 일부터 수영강습 
53,위드 코로나 하자며 당연한 결과인데 뭘 그렇게 놀라
54,꽉 찬 병상 쏟아지는 확진자 위드 코로나 주차 위태  다음 뉴스
55,어차피 위드 코로나인데 숫자놀음 작작하지 
56,단계적 일상 회복해서 이제 공연도 표 엄청 많이 파네
57,무능한 문재인 위드 코로나 완전히 실패 위드 코로나 당장 취소해야 유일한 대책은 도시 봉쇄 거리두기 강화 재택근무 즉각 실시 코로나 정권 문재인 정권은 사상 최악의 정권 정권 교체 정권 교체 국민들 아우성 
58, 우와ㅠㅜㅠㅅㅂ 위드 코로나 하지 마 그냥
59,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
60,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
61,난 백신 패스 가능하지만 기꺼이 코 찔릴 준비하고 있었어ㅎ
62,위드 코로나 빠이빠이
63, 백신패스관ㄱㄱㄱㄱ팝콘가즈아
64,엥스우파콘 함성소리 뭐임 아무리 위드 코로나여도 지킬 건 지켜야지 공연계 이제야 슬슬 풀리는데ㅠ 그 뒤 공연들도 있는데
65,이런 상황에 위드 코로나   이러다 오르콘 다 취소되는 거 아니냐고  
66,이럴 거 알고 위드 코로나 한거 아닌갛ㅎㅎㅎ 위드 코로나라면서 왜 이래 위드가 뭔데 위즈위드 위드라고요 위드
67,위드 코로나 이제 유흥에 젖을 때 군 ㅋ 청주 오송  세종  마사지 노래방 페이만 남
68, 이니가 해냈다 위드 코로나 훠훠훠
69,오늘 헬스장 백신 패스 등록하면서 보니 벌써 접종하고 달이나 지났어 점점 약발 떨어지는 시기이니 더더욱 조심해야지ㅠㅠㅠㅠㅠ그냥 달부터 부스트 샷 맞게 해주면 안 되니
70,조나 개 짜증 나 베놈 예매다 해 놨는데 백신 패스 차까지라 못 가
71,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
72,내놔 위드 코로나 위드 양 솔 콘
73,어제 개봉해서 드디어 보러 가려 규 했더니만 포티 뽑을 수 있는 씻지 비는 백신 패스 관만 있어 돌아버리겠네 이 시국에 거길 어떻게 가
74,지금 저거 어떻게든 팬들 얼굴 보고 싶어서 위드 코로나 기다리다가 대면 잡은 거지 하 진짜 이 미친 팬 사랑 진심 너무 사랑해
75,위드 코로나 괜찮은 거냐 모든 회사가 지금 회식 열풍이고
76,위드 코로나 지금 하지 말자 난리다  휴
77,신호 기다리는데 왼쪽에선 백신 패스 반대한다고 확성기 틀고 오른쪽에선 오징어 게임 바가지 달고나를 팔고 있고 뒤에선 예수천국 불신지옥 연설을 하고 있는 이 현장이 하나의 대한민국 사회 축소판 같다
78,위드 코로 나고 머고 그냥 학교가 기실 어
79,천되면 위드 코로나 그만한다고 하지 않음
80,사실을 전달하는 것도 사실을 받아들이는 것도 중요하기는 한데 이걸 맥락상 예방접종은 효력이 없는 거 아니냐라든지 위드 코로나 결정한 거 너무 멍청하지 않냐라고 하는 건 좀 위험한 생각인 듯
81,어쨌든 정부 공식 입장은 대략 아래 기사와 같습니다 위드 코로나 평가 또 연기 추가 접종자 방역 패스 검토 안 해 뉴스 위드 코로나 위험도 평가 기준 일 공개 다음 주 평가 결과 발표 수도권 중환자 병상가동률  육박 병상 확보 비상
82,화순 소식 단계적 일상 회복 문화예술 행사 잇따라 연합뉴스
83,광란의 위드 코로나 파티 
84, 그니까ㅠㅠㅠㅠ그래도 이제 위드 코로나 시작해서 그나마 살만하긴함ㅠㅠ
85,인천시장은 뭐랄까 단계적 일상 회복 이전에 확진자 증가하면 시장인 저부터 똑바로 하겠습니다 소리라도 했는데 이후에는  말을 안 하는 게 실질적으로는 중증 환자 비중이 높아져서 지자체장으로서 크게 할 수 있는 일이 없을 수도 있는데
86,그 확진자 일정 수 넘으면 다시 위드 코로나 해제된대 나 전면 등교 싫은데 그렇다고 확진자 나오는 것도 싫음
87,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
88,오후 시 전국 신규 확진 명시만에 명 돌파  다음 뉴스  단계적 일상 회복 이후 오후 시 첫 명대
89,문화 체육과 대전광역시 단계적 일상 회복 지역축제 기본 안내문 
90, 운동하러 헬스장 갈라니 게 백신 패스인지 뭔지 때문에 출입을 안 시켜주더라고
91,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
92,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
93,그냥 좆됐지 뭐 위드 코로나 ㅇㅈㄹ 코로나 걸려서 함께 하려고 위드 코로나라는 거임 
94,위드 코로나 시작하면서 느끼는 건데 진짜 식당 시끄럽다
95, 코로나 경북 관리 현황 알림  시 기준 경북 총 확진자 명전일 대비 명 발생 위드 코로나 일상 회복 단계 다중이용시설 시간 영업 가능 유흥시설 제외 인구 만명 이하 개 군 예외 사적 모임 접종 여부 상관없이 명까지 허용 
96,백신 패스 반대 백만 온라인 서명 운동  국민 서명 광장  백신 패스를 반대합니다 
97,위드 코로나 시행 경기 사망자 급증월 주당 명 사망 월   출처  뉴스  네이버 뉴스 
98,드디어 틱틱붐 극장에서 봄 자리 남는 데가 백신패스관밖에 없어서 걱정했는데 거리도 기관 취소표 풀린 거 급하게 예매해서 보러 갔음  
99,여기 백신 패스 관인 가요
100,아주 위드 코로나 됐다고 다들 어딜 그렇게 나다니는지ㅜㅜㅜㅜㅜㅜㅜ차 개막 혀 진짜
101,추가 티켓 오픈 년 월 일수 오후 시고로 나 단계적 일상 회복 거리두기 조정에 따라 차 오픈 기간 내의 추가 좌석을 오픈합니다 인터파크 티켓 예매 시스템 정비를 위해 월 일수 오전 시 오후 시까지 일시적으로 판매가 중단됩니다   예매 인터파크
102,전남경찰 단계적 일상 회복 시행 대비 및 연말 음주운전 집중 단속 실시 음주운전 사고 예방을 위하여 내년 월 말까지 실시
103,년 월부터 감염자 추적도 안 해 마스크도 안 써도 되고 백신 패스도 안 하고
104, 집회 주최자는 인증과 백신 패스 확인했는지 안 했으면 방역 법 위반이다 처벌하라
105,우리나라도 월부터 위드 코로나 한답시고 방역수칙 완화를 벌였었다 그 결과 하루 확진자 명 돌파라는 참으로 뻔하고 답답한 결과가 벌어졌다
106,아니 근데 ㅋㅋㅋㅋㅋ 위드 코로나 공식 용어 아니라고 자제하라고들 하는데 그대로 다들 위드 코로나 쓰네 어감이 쉬워서 그런 건지
107,단계적 거리두기 완화라고 불러달라고 호소해도 굳이 위드 코로나라고 하니까 어감 바뀌면서 이 지랄이 나는 거지
108, 대박적인 라인업을 들고 왔을 멜뮤에 전 저의 첫 오프를 멜뮤로 가고 싶어요 앞으로 기회는 많고 여러 번의 시상식이 있겠지만 모든 게 안되었던 코로나 시국 이후 현 위드 코로나의 시상식은 얼마나 모든 게 멋질까요 올해도 믿습니다 멜뮤 레전드 무대 라인업 레전드를 가져올 거라고
109, 근데 용산 영등포는 죄다 일반과인데 구로만 백신패스관이라서 포스터 불안하네요 쓸 용산 시가 제일 베스튼데 와 저기는 빠지는 걸 못 보고 있어요 ㅋㅋㅋㅋㅋㅋ
110,위드 코로나 시행으로 제주도 항공권 요금이 올랐네요 제주여행 제주항공권 위드 코로나  네이버 카페 
111,위드 코로나라곤 했는데 너무 함께하는 거 아니냐 서울 경기 천육백 명이 뭐예요
112,무예 신문 무예 신문 무예 만평 실내체육시설 백신 패스 적용 환불 대란  
113,생각 못 하고 위드 코로나 어쩌고 했나 
114,위드 코로나 어쩌고라면서 뭔 국민에게 당여 질이야 전면 등교 연말 모임 코로나 방역 위험 요인 출처  한국경제  네이버 뉴스 
115,위드 코로나 아님 그냥 책임지기 싫어서 그런가
116,해남 미남 축제 위드 코로나 선도 축제로 안전하게 열려 
117,천은 미 교수는 엄청난 위기다 정부가 단계적 일상 회복을 일부분 중단할 수도 있는 상황이 올 수 있어서 고심해야 하는 단계라고 강조했다 
118,년에 한 번 올 부동산 투자기회 주택시장에 있다 글로벌 대체투자 콘퍼런스 주택 재고 절대적 부족 가격 오르고 임대료 상승세 연간 공급이 수요 못 따라가 오피스빌딩 물류센터 인기 스웨덴 등 북유럽 인프라도 유망 위드 코로나로 유럽 호텔 관심
119,감기약처럼 코로나도 병원 처방 없이 먹는 약이 약국에 나올 꺼지나 그러니깐 위드 코로나로 자가 격리를 시키기보다 백신 효과가 얼마인가 그 역량을 체크하고 코로나 더는 국가가 관리 통제 규제하지 말고 독감처럼 자기 돈 내고 백신 맞고 감염되어 아프면 아픈 대로 죽고 죽는 걸 막을 수 없는 거라 본다
120,머지 위드 코로나 되기 전엔 안아서 갔는데 버스 타도 위드 코로나 되고 안기는커녕 발 디딜 정도로 힘드네 버스가 다 들 위드 코로나 돼서 나오는 건가 제발 소집해제까진 안아서 버스 타고 퇴근하고 싶다 코로 나 땜에 맨날 서서 퇴근
121,아 뭐야 씨잘 백신 패스 관운 취식 가능해 일찍처말하셈
122,이번 뉴이스트 콘서트 본인 확인 철저하게 합니다 아무래도 코로나 시국이라 백신 패스 확인이랑 공연장에 누가 들어가는지 동선 체크 때문에 그런 것 같아요 그냥 취소 표나 일반 예매 노리는 게 좋을 듯합니다 ㅠㅠ 이번에 진짜 양도 표 의미 없어요 
123,저기 모여있는 사람들을 보니까 위드 코로나가 너무 실감 난다 떨려 어떡해
124,위드 코로나 중인 핀란드 최근 일 코로나 일일 신규 확진자 수 매번 비교하지만 대한민국 은 인구 수나 인구 밀도 고려하면 진짜 선방 중인 것입니다 문재인 대통령님 정은경 청장님 그 외 모든 방역 일꾼들께 감사드립니다 
125,위드 코로나 단계적 일상 회복 기대감에 소비자심리지수가 세 달째 상승했다 하지만 치솟는 물가에 생활형편전망은 오히려 전월보다 포인트 낮아졌다
126,김 총리 방역상황 급속히 악화 내일 단계적 일상 회복 방향 결정  다음 뉴스 
127,아직 장르만 로맨스 예매자가 나밖에 없어 백신 패스 관인데 이따가도 나 혼자 보는 거면 공짜 쿠폰으로 팝콘 먹을 거야 잇 근데 또 혼자 보는 거 은근히 좀 그래 나 한 사람을 위해 영사기를 돌려야 하자 냉
128,수능 끝나고 친구들이랑 시간 잡아서 수능 할인으로 놀이공원 가기로 했는데 그때 딱 코로나가 심각해지면서 못 갔던 기억이 이제는 위드 코로나니깐 신나게 놀러 다니세요
129,월  관련 월 일 미 월간 고용 및 월 일 소비자물가지수 중요성 높아졌음 외환시장은 각각의 이벤트를 앞두고 사전적인 달러화 매수로 대응할 가능성 높음 단계적 일상 회복 과정에서 유럽 등지의 방역 상황 악화도 달러화 매수 심리에 힘을 보탤 것으로 사료됨
130,설마 정말 위드 코로나 끝내는 거 아니지 저기요 저 콘썰 가야 돼요ᅲᅲᅲᅲᅲᅲ
131,  위드 코로나 그렇죠 유럽 다시 봉쇄 조치 들어가고 태국도 답도 없는데  그 와중에 오프 행사 다시 하고 대면 콘서트도 할 거 같고 언능뮤수파싯 마스크 뚫고 나오는 미친 외모 봐야 하는데
132,위드 코로나인 게 엄마 스케줄 느는 거 보니 느껴지네  이렇게 집 밥은 다시금 멀어지고 
133,아니 근데 단계적 일상 회복 중단 여부 내일 발표한다는데 오르콘 타이밍 오졌은대 관한 참전에 해놓고 왜 티켓팅 안 띄우냐고 왈왈댔던거 미안해 사실 가는 거 무섭긴 함 근데 안 갈 수도 없고 나름 백신 완료 자만 입장에 박수만 허용이니까 조심해야지
134,위드 코로나 시대에 맞는 비대면 학습 시스템 알짜배기 계시록 말씀 총집합 계시록장 시청하기 마지막 나팔소리 신천지 온라인 세미나 전 세계 최초 요한계시록전장장 예언과 성취 증거 무료 성경공부 신청 번호
135,  이제 백신 패스 있어서 능동감시였던 걸로
136,내일부터 당분간 오픈 시간이 시로 조정됩니다 월   월  다음날 월부 터 분 늦은 시까지 영업하겠습니다 위드 코로나로 조금씩 풀리기도 하고 여러 가지 상황을 봐서 시간대를 조정하도록 할게요 
137,시발이게다위드코로나때문이다디져그냥
138,위드 코로나 하자매ㅅㅂㅋㅋ
139,위드 코로나 하니까 외국도 그렇고 다시 심해지는 것 같아
140,위드 코로나 수능 마스크 착용 마실 물 준비
141,응단 백신 패스 방침을 알고 싶다 못 찾겠다 꾀꼬리
142, 위드 코로나 되고 바쁨
143,백신 패스를 반대하는 세계시민 걷기대회 전 세계 개국 동시 진행일 오후 시부터 서울 홍대역 번 출구 부산 해운대역 번 출구 대전 대전역 써 광장에서 각각 진행
144,양아치 새끼들 이제 위드 코로나 하겠다 우리가 다 쓸어버린다 내년은
145,신세계 센텀시티 측 골드문트 단계적 일상 회복 프로젝트일 크리스마스의 감동과 즐거움을 미리 준비하셔야죠    으로 크리스마스의 감동과 즐거움 골드문트 매장에서 체험이 가능합니다 신세계 센텀시티 매장 오픈 주년 특별함까지 
146,월요일 화요일인데도 천명 아래로 떨어지지 않는 거 보면 이거 아무래도 단계적 일상 회복에 제동이 걸릴 거 같기도 하고
147,그러고 보니 백신 패스 관운 접종 완료한 거 인증해야 하는데 제대로 들어가셨을지 모르겠네 거기서 알려드리고 바로 떠나서 모름
148,짜증 나 이번 연도 내 첫 남자배구 직관이 눈앞에 있는데 위드 코로나 폐지 이 지랄하는 새끼들 땜에 ㅉㅉ 내가 뭐 때문에 모더나 차 맞고 주를 기다렸는데
149, 네 찾아보니까 백신 접종 증명서로 입국하고 가서 유럽 백신 패스 발급받으면 된대요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
150,문 대통령이 꼽은 위드 코로나 요소 내년 분기 완료 전망 
151, 미리 말씀드리거나 위드 코로나라서 상황에 따라 가능할 수도 있단 담임선생님의 말이 있긴 했음 추측이라 불확실함 희희 한 달 지나면 술도 마실 수 있다고요 입대고 기억 소실 후 다음날 되어 있을 듯 쪼아요 함께 놀아요 즐겁게 놉시다
152, ㅁㅈㅁㅈ요 백신 패스 관 안 가려고요 뭐야 저는 아직 견문이 부족해서 ㅎㅅㅎ 푸푸 남한테 마니배워갈랍니다용 케케
153,이번 콘 백신 패스구나
154,주한 영국대사는 해외에서 백신을 접종한 한국 거주 외국인들에게 백신 패스를 주지 않는 차별적인 한국 정부 정책을 비판했다 
155,코로나 생기야 너 따위가 날 막을 수 있을 거라 생각해 어 아  코로나는 날 막을 수 있지 하느님 부처님 천지신명 어머님 아버님 선생님 교수님 대표님 회장님 제발 위드 코로나 안 풀리게 해주세요 제발요 아이 싹수없는 놈 아 나 플파티 한 번만 하자 좀 놀자 쒸익씨익 펨바텀 구해요 찡긋
156,유튜브 백신 패스 집단소송 청구인 모집 백신 패스 방역 패스 헌법소원 준비 중인 안 대림 학생이 청구인 더 모집 중이라고 함 변호사는 이미 세 분 선임하여 법률 검토 중이라고 저의 경우는 이미 참여했습니다 참여의 시가 있는 분들께선 영상 보시고 결정하시길 바랍니다 
157,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
158,빨리 필터 가고 싶어 백신 패스 으으
159,간호사 친구도 아까 있었거든 자리에 내가 콘서트 취소되면 자살한다 하니까 대선까진 계속 위드 코로나 할 거 같다던데 그랫으먄젛겟다ㅠ
160,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
161,으 한국 위드 코로나 한다고 하자마자 친구들 회식 잡혀 곡소리 듣는데 진짜 끔찍하다 개 줘 씨들은 왜 그렇게 회식이 좋을까 재택 하면서 뭔가 조사 좀 했으면 많은 이들이 회식이 없어서 너무 좋다는 것을 좀 알만도 할 텐데
162,위드 코로나 좋아하네 백신 안 맞는 사람들부터 맞았으니 막사는 사람까지 대난리가 났는데 그러다 선을 넘어가면 다시 못 돌려놓는다고 진짜 지난 년은 뭐 그냥 심심해서 다 틀어막은 줄 아나 
163,위드 코로나라고 하더라도 기저질환자와 노령층은 너무나 위험한데다들 긴장의 끈을 한 번에 놓지 않길 바란다
164, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이재 위드 코로나니까 가서 박살내주자백새주 한 병 시키고
165,접종 완료 자도 부스터 샷 안 맞으면 백신 패스 뺏기나 백신 강제 부당해 
166,외국 동포 등 조기 적응 프로그램 대면 교육 재개 법무부에서는 방역 강화 차원에서부터 대면교육을 전면 중단하였으나 한국의 코로나 방역 대응이 단계적 일상 회복 체계로 전환되고 교육 재개에 대한 문의가 계속되어 대면교육을 부분적으로 재개함을 얼려 드
167, 코로나 시국 잘 넘기나 했는데 위드 코로나 넘어가기 무섭게 저의 공간을 비집고 들어올 줄은 몰랐어요 몸도 몸인데 마음이 더 힘든 병이네요 ㅠㅠ
168,샤이니 키   데뷔 연차도 어색한 위드 코로나 콘서트 월드 케이팝 콘서트    
169, 헉 맞아 내 오프 내 방청 내 시상식 악 내 백신 패스 예약 갈길까
170,위드 코로나 시대에 수요 폭발 중인 컨벤션 
171, 코로나 경북 관리 현황 알림  시 기준 경북 총 확진자 명전일 대비 명 발생 위드 코로나 일상 회복 단계 다중이용시설 시간 영업 가능 유흥시설 제외 인구 만명 이하 개 군 예외 사적 모임 접종 여부 상관없이 명까지 허용 
172,단계부터 너무 풀었나 위드 코로나 속도 조절론 솔솔 
173,나 더 공부해야되닌디 백신 찬스로 패스
174, 그냥 내년에도 비대면 위드 코로나 하자 학교 통학하기 힘들다 아아아
175,법원도서관 나에게 꼭 맞는 혼인생활 정리 방법 법률 소양강좌  법원도서관 관장 유상재는 지난 일 나에게 꼭 맞는 혼인생활 정리 방법을 주제로 법률 소양강좌를 개최했다 이번 소양강좌는 위드 코로나 시 
176,ㅋㅋㅋ 백신 차까지 맞아도 코로나에 완벽하게 안정한 것도 아니면서 패스는 무슨 말이냐고
177,위드 코로나 개작살로 깨지는 거구나 징글징글
178,근데 띄어앉기 안 하고 뭐 먹으면 백신 패스 관입 더 구린 거 아닌가 싶기도 하지만 일단 백신 패스 관로 간다
179,   이것을 사람들에게 지금은 아이들에게까지 맞도록 강요하는 것은 끔찍한 일입니다 저는 다시 한번 의사들에게 호소합니다 효과적인 치료제들을 사람들에게 처방 하시라고 그린 패스 그것은 백신을 맞게 하려는 마케팅일 뿐입니다 우리가 음모론자라고요 아니요 음모를 꾸미는 것은 그들입니다
180,만약 북미나 유럽  틀 거면 우리 단계적 일상 회복이랑 비교해서 우리는 왜 이런 점진적 변화를 하는지를 조명해야지 어휴
181,진짜 짜증 난다 위드 코로나 하자마자 다들 회식하고 난리더니 이럴 줄 알았지 ㅜㅜ
182,문 대통령 단계적 일상 회복 기뻐 민생경제 소상공인 영업에 활기 출처 더 팩트 좋아요 대통령 재난지원금 어려운 분들 먼저 내각 판단 신뢰한다 출처 노컷뉴스 좋아요
183, 사람들 스스 예약으로 아는데 위드 코로나라 월 이후부터 그냥 출입임 지난주에 갔다 옴
184, 위드 코로나를 왜 하냐고 진짜 하
185,하루 확진 명 육박 역대 최다 위드 코로나 일시 중단 기로ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
